PHRASES,RAGAM
Ga' Ri' Sa' Ni Pa Ni Sa Ni Ri' Ga' Ri' Ni Ri' Sa',HAMSDHVANI
Sa' Ni Sa' Ri' Ni Pa Ga Pa Ni Ni Pa Ni Sa',HAMSDHVANI
Ni - Ni Ni Ni Ni Ga' Ri' Ni Ri' Sa',HAMSDHVANI
Sa - Sa' - Ni Pa - Pa Pa Ga Ga - Ri Sa,HAMSDHVANI
Ga Ri Pa Ga Ni Pa Sa' Ni Ri' Sa' Ga' Ri' Ga' Sa' Ri' Ni' Sa',HAMSDHVANI
Ga' - Ga' Ri' Sa' Ri' Ri' Sa' Ni Sa' Ga Pa Ni Pa,HAMSDHVANI
Ni Sa' Pa Ni Sa' Ga Pa Ni Sa' Ri Ga Pa Ni Sa',HAMSDHVANI
Sa Ri Ga Pa Ni Sa',HAMSDHVANI
Ga' Ri' Sa' Ri' Sa' Ni Sa' Ni Pa Ga Pa Ni Sa',HAMSDHVANI
Pa - Pa Pa Ga - Ga Ga Ri - Ri Ri Sa Ni. Sa Ri Sa,HAMSDHVANI
Ga - Ga Ga Pa - Pa Pa Ni - Ni Ni Sa' Ni Sa' Ri' Sa' Ni Sa',HAMSDHVANI
Ga' Ga' Ga' Ri' Ri' Ri' Sa' Sa' Sa' Ni' Ni' Ni' Pa,HAMSDHVANI
Ga' Ga' Ri' Ri' Sa' Sa' Ni Ni Pa Pa,HAMSDHVANI
Ga' Ri' Sa' Ni Pa Ri Sa' Ni Pa Sa' Ni Pa Ga Pa Ni Sa',HAMSDHVANI
Pa - Pa Pa Ri - Ri Ri Sa - Sa Sa Sa Ri Ga Ri Ga Pa Ni Sa,HAMSDHVANI
Sa Ga Ri Sa Pa Ri Sa Ga Pa Ni Pa Ga Ri Sa,HAMSDHVANI
Sa Ga Ri Ga Ri Pa Ga Ri Ga Ni Pa Ga Pa Sa' Ni Pa Ni Ga' Ri' Sa',HAMSDHVANI
Ga' Ri' Sa' Ni' Ri' Sa' Ni' Pa' Sa' Ni Pa Ga Ga Pa Ni Sa',HAMSDHVANI
Sa' Ga' Ri' Sa' Ri' Ri' Ga' Ri' Sa' Ga Pa Ni Sa',HAMSDHVANI
Sa' Sa' Ni Pa Ga Ri Sa,HAMSDHVANI
Sa Sa Ri Ga Pa Ni Sa',HAMSDHVANI
Ri - Ri Ri Ga Pa Ni Sa Ri',HAMSDHVANI
Ri' Ri' Ri' Sa Ni Pa Ga Ri,HAMSDHVANI
Ga - Ga Pa Ni Sa Ri Ga',HAMSDHVANI
Ga' Ga' Ri' Sa' Ni Pa Ga,HAMSDHVANI
Pa Pa Ni Sa' Ri' Ga' Pa',HAMSDHVANI
Pa' Pa Ga Ri Sa Ni Pa,HAMSDHVANI
Pa' Pa' Ga' Ri' Sa' Ni Pa,HAMSDHVANI
Pa. Ni Sa Ga Ri Pa,HAMSDHVANI
Ri Ri Ga Pa Sa Ni,HAMSDHVANI
Ga - Ga Pa Ni Sa Ri Sa,HAMSDHVANI
Ga' Ri' Ga' - Ga Ri Ga - Pa Ga Pa - Ni Ni Pa,HAMSDHVANI
Ga Pa Ni Pa Ga Pa Ni Pa Ga - Sa Ri Ga Ri Sa Ri Ga Ri Sa -,HAMSDHVANI
Ri Ri Ri Sa - Ga Ga Ri Pa Pa Ga Ni Ni Pa Sa' Sa' Ni Ri' Sa',HAMSDHVANI
Sa' - Sa' Sa' Ni' - Ni' Ni' Pa - Pa Pa,HAMSDHVANI
Sa Sa Ri Ri Ga Ga Sa Ri Ri Ga Ga Ri Ga Pa Ga Pa Pa Ga Ga Pa Pa Ni - Ga Pa Ni Pa Pa Ni Ni Sa' Pa Ni Sa',HAMSDHVANI
Sa' Ga' Ri' Sa' Ni Ri' Sa' Ni - Ri Sa Ni Pa Pa - Pa Ni Sa',HAMSDHVANI
Sa' Ni Pa Ga Ga Pa Ni Ri' - Pa Ga Ri Sa Ni. Ri Sa,HAMSDHVANI
Sa Sa Sa Ri Ri Ri Ga Ga Ga Sa Ri Ga Sa' Sa' Sa' Ni Ni Ni Pa Ni Sa',HAMSDHVANI
Sa' Ri' Sa' Ni Sa' Ni Sa' Ni Pa Ni,HAMSDHVANI
Pa Ni Pa Ga Pa Ga. Ri Sa Ri Ga,HAMSDHVANI
Ni. Ri. Sa Sa Ga Ri Ri Pa Ga Ga Ni Pa Pa Sa Ni Ni Ni Ri' Sa',HAMSDHVANI
Ni Ga' Ri' Ni Ri' Ni Pa Ni Pa Ga Pa Ni Sa',HAMSDHVANI
Sa' Ni Pa Ga Pa Ni Ni Pa Ga Ri Pa Ga Pa Ga Ri Sa Ri Ga Ga Ri Sa Ni Ri Sa,HAMSDHVANI
Sa' Sa' Pa Pa Ga Ga Ri Ri Ni Ri Sa,HAMSDHVANI
Sa Sa Pa Pa Sa' Sa' Ni Ri' Sa',HAMSDHVANI
Sa - Sa Ni Sa Ri Sa Ni Pa,HAMSDHVANI
Pa - Pa Pa Pa Ga Pa Ni Ni Pa Ga - Pa Ni Pa,HAMSDHVANI
Sa - Sa Ni Ga Ri Sa Ni Ri Sa,HAMSDHVANI
Sa' Ni Ni Pa Pa Ga Ga Ri Sa Sa' Sa' Ni Ni Pa,HAMSDHVANI
Ri Ri' Ri Sa' Ni Pa Ga Ga' Ga Ga' Ri' Sa',HAMSDHVANI
Pa' Ga' Pa' Ga' Ri' Ga' Ri'' Sa' Ri' Sa' Ni Sa',HAMSDHVANI
Pa' Pa' Ga' Ga' Ri' Ri' Sa' Ni Sa',HAMSDHVANI
Pa' Ga' Ri Sa' Ri' Ri' Sa' Ni Sa',HAMSDHVANI
Pa' Pa' - Pa Ga' Ga' - Ga' Sa' Ni Ri' Sa',HAMSDHVANI
Ga Ri Ga Pa Ga Pa Ni Pa Ni Sa' Ni Sa',HAMSDHVANI
Ga' Ri' Ga' Ri' Sa' Ri' Sa' Ni Sa' Pa Ni Sa',HAMSDHVANI
Ri Sa Ni Pa Ni Sa' Ni Sa',HAMSDHVANI
Ga' Ri' Sa' Ni' Sa',HAMSDHVANI
Ri' Sa' Ni Sa',HAMSDHVANI
Sa' Ni Pa Ni Pa Ga Ri Sa,HAMSDHVANI
Sa - Sa Sa Ga Ri Ri Ri - Ri Ri Pa Ga Sa - Ga - Ga - Ni Pa Ga Pa,HAMSDHVANI
Pa - Pa - Sa' Ni Sa',HAMSDHVANI
Sa' Ri' Sa' Ni Sa' Ri' Sa' Ni Sa',HAMSDHVANI
Sa' Ni Pa Ni Pa Ga Ri Pa Ga Ri Sa,HAMSDHVANI
Sa Ri Ga Ri Ri Ga Pa Ga Ga Pa Ni Pa Pa Ni Sa',HAMSDHVANI
Pa Ni Sa' Ni Ga' Ri' Sa' Ni' Pa' Ga' Ri' Sa',HAMSDHVANI
Ga' Ri' Sa' Ni' Ri' Sa' Ni Pa Sa' Ni Pa Ga,HAMSDHVANI
Sa Ri Ga Ri Ri Ga Pa Ga Ga Pa Ni Pa Pa Ni Sa' Ga' Ri' Sa,HAMSDHVANI
Ga' Ri' Ga' Sa' Ri' Ni' Sa,HAMSDHVANI
Ri' Sa' Ri' Ni Ri' Ni Sa' Ga' Ri' Sa' Ni Pa Ga' Ri' Sa' Ni Pa Ri' Sa' Ni Pa Ga Ri Sa Ni Pa Ga - Sa' Ni Pa Ga Ri Sa Ni Pa Ga Ri - Sa Ri Ga Pa Ni Ni Ga Pa Ni Sa',HAMSDHVANI
Ni Ri Ga Ri Sa' Ni  Ri Ga Ma’ Ga Ga Ma’ Pa' Ma’ Ga' Ri Ga Ri Sa',YAMAN
Sa Ri Sa Sa ni Da Pa Da ni Sa Ri Pa Ma ga Ri  ga Ri Sa,YAMAN
Sa Ri ga Ma Pa Ma Pa ni Da Pa Ma Pa Da ni Sa Sa na Da Pa Ma ga Ri Ma ga Ri Sa,YAMAN
Ma Pa Da ni Sa Sa ni Da Pa Da ni Sa,YAMAN
Pa Da ni Sa ni Sa Ri Ma ga Ri Ri Pa Ma ga Ri ga Ri Sa ,YAMAN
Sa ni Da Pa Ma Pa ni Da Pa Ma Pa ga Ri Ma ga Ri Sa,YAMAN
Sa ni Da Pa Ma Pa ni Da Pa Ma Pa ga Ri Ma ga Ri Sa,YAMAN
ni Da Pa Ma ga ga Ri Ri Ri Pa Ma Pa Ma ga Ri Sa,YAMAN
Ma Ma Pa Da ni ni Sa - Da ni Sa Ri  ga Ri Sa -,YAMAN
ga Ri Sa - ni Da Pa - Sa ni Da Pa Ma ga Ri Sa,YAMAN
Sa Sa Ri ga Ri ga Ma Ma Pa - Pa Da Ma Pa ga Ri Ri ga Ma Pa Da ni Da Pa Sa ni Da Pa Ma Pa ga Ri,YAMAN
Ma Pa Da ni Sa Sa Sa  Sa Sa Ri ga Ri Sa ni Da Pa Sa ni Da Da Sa ni Da Pa Sa ni Da Pa Ma ga Ri Sa,YAMAN
Sa Ri ga Ma Pa Da ni Sa Sa ni Da Pa Ma ga Ri Sa,YAMAN
ga Ma Pa Da ni Sa Ri Sa Sa ni Da Pa Ma ga Ri Sa ,YAMAN
ga Ma Pa Da ni Sa Ri Sa Sa ni Da Pa Ma ga Ri Sa ,YAMAN
ga Ma Pa Da ni Sa Ri Sa Sa ni Da Pa Ma ga Ri Sa ,YAMAN
Da ni Sa Sa ni Da Pa Da ni Sa Ri ga Ri Sa Sa ni Da Pa Ma ga Ri Sa ,YAMAN
Sa na Da Pa Ma ga Ri Sa Ma Pa Da ni Sa Sa,YAMAN
Sa Ri Sa ni Da Pa Ma ga Ri Sa Ma Pa Da ni Sa,YAMAN
Sa Ri ga Ri Sa ni Da Pa  Ma ga Ri Sa Da ni Sa,YAMAN
Sa Ri Sa ni Sa ni Da ni Da Pa Da Pa Ma Pa Ma Ma ga Ri Sa,YAMAN
Ri Ma Pa Ma ga Ri Sa Da ni Sa Sa ni Da Pa Da ni Sa Ri ga Ri Sa Sa ni Da Pa Ma ga Ri Sa ,YAMAN
Ni Da Pa Ma Pa Ga Ma Pa Pa Ma Ga Ri,YAMAN
Ni Ri Ga Ma Da Ni Ri Ga Ri Sa Ni Da Pa Ma Ga Ma,YAMAN
Ni Ri Ga Ri Ga Ma Pa Da Pa Ma Ga Ri Ga Ri Sa,YAMAN
Ga Ga Pa Da Pa Sa Sa Ni Ri Ga Ri Sa Ni Da Pa,YAMAN
Ni Re Ga Ma Da Ni Ri Ga Ri Sa Ni Da Pa Ma Ga Ma,YAMAN
Ga Re Sa Ni Da Pa Ni Da Pa Ma Ga Re Ga Re Sa,YAMAN
Ni Ri Sa - Sa Ni Da Pa - Ma’ Da Ni Ri Ga - Ga Ma’ Ga - Pa Ma’ Ga Ri Sa -,YAMAN
Ni Ri Ga Ma’ Pa - Ma’ Da Ni Da Pa - Ma’ Da Ni Sa - Sa Ni Da Pa - Ni Da Pa - Ma’ Ga - Ri Ga - Ri Sa -,YAMAN
Ga Ma’ Da Ni Sa - Ni Ri Sa - Sa Ni Da Pa Ma’ Da Ni Sa,YAMAN
Ma’ Da Ni Ri Sa - Ni Ri Ga - Ri Sa - Sa Ni Da Pa - Ma’ Da Ni - Ma’ Da Ni Ri Sa -,YAMAN
Ga Ma’ Da Ni Ri Sa - Ni Ri Ga - Ri Sa - Ni Ri Ma’ Ga Ri Ga Ri Sa - Sa Ni Da Pa - Ma Da Ni Sa ,YAMAN
Ga - Ga Ri  Ga Ma’ Pa Da Pa Ma’ Ga Ri  Ga Ri Sa - Ni Ri Ga Ri Ga Ma’ Pa Da Ni Da Pa Ma’  Ga Ri Sa -,YAMAN
Ma’ Ga Ma’ Da Ni -Sa - Da Ni Sa Ri Ga Ri Sa - Ga Ri Sa Ni Da Pa Ma’ Pa Ni Da Pa Ma’ Ga Ri Sa -,YAMAN
Ni Da Pa Pa Ma’ Pa Ga Ma’  Pa - Ga Ri Ni Ri Sa Sa Ma’ Da Ni Sa Ni Da Pa Ma’ Pa Ga Ma’ Ni Da Pa Ga Ri Ni Ri Sa Sa ,YAMAN
Ni Ri Ga Ri Ga Ma’ Pa Pa Ni Da Pa Ma’ Ga Ri Sa Sa,YAMAN
Ma’ Ga Ma’ Da Sa Sa Sa - Ni Ga Ri Ni Ri Sa Sa Ga Ri Sa Ri Ni Da Pa Pa Ni Da Pa Ma’ Ga Ri Sa Sa ,YAMAN
Ni Ri Ga - Ga Ma’ Ga -  Ga - Ri - Ni Ri Sa - Ga Ma’ Pa - Pa Da Pa - Pa - Ma’ Ga Ga Ri Sa -,YAMAN
Pa Ma’ Ga Ma’ Pa Da Ni Sa Ni Da Pa Ma’ Ga Ri Sa -,YAMAN
Ga Ma’ Pa Da Ni Sa Ri Sa Ni Da Pa Ma’ Ga Ri Sa - ,YAMAN
Ni Re Ga Ma Dha Ni Re Ga Re Sa,YAMAN
Ni Dha Pa Ma Ga Ma Ni Re Ga Re,YAMAN
Ga Re Sa Ni Dha Pa Ni Dha Pa Ma,YAMAN
Ga Re Ga Re Sa Ni Dha Pa Ma Ga,YAMAN
Ni Ri Sa Ni Da Pa Ma Da Ni Ri Ga,YAMAN
Ga Ma Ga Pa Ma Ga Ri Sa Ni Ri Ga Ri,YAMAN
Ni Ri Ga Ma Pa Ma Da Ni Da Pa Ma Da Ni Sa,YAMAN
Sa Ni Da Pa Ni Da Pa Ma Ga Ri Ga Ri Sa,YAMAN
Ga Ma Da Ni Sa Ni Ri Sa Sa Ni Da Pa,YAMAN
Ma Da Ni Ri Sa Ni Ri Ga Ri Sa Sa Ni Da Pa,YAMAN
Ma Da Ni Ri Sa Ni Ri Ma Ga Ri Ga Ri Sa,YAMAN
Sa Ni Da Pa Ma Da Ni Sa Ga Ma Da Ni Ri Sa,YAMAN
Ga Ri Ga Ma Pa Da Pa Ma Ga Ri Ga Ri Sa,YAMAN
Ni Ri Ga Ri Ga Ma Pa Da Ni Da Pa Ma Ga Ri Sa,YAMAN
Ma Ga Ma Da Ni Sa Da Ni Sa Ri Ga Ri Sa,YAMAN
Ga Ri Sa Ni Da Pa Ma Pa Ni Da Pa Ma Ga Ri Sa,YAMAN
Ni Da Pa Pa Ma Pa Ga Ma Pa Ga Ri Ni Ri Sa Sa,YAMAN
Ma Da Ni Sa Ni Da Pa Ma Pa Ga Ma Ni Da Pa Ga Ri,YAMAN
Ni Ri Sa Sa Ni Ri Ga Ri Ga Ma Pa Pa Ni Da Pa Ma,YAMAN
Ga Ri Sa Sa Ma Ga Ma Da Sa Sa Sa Ni Ri Ga Ri,YAMAN
Ni Ri Sa Sa Ga Ri Sa Ri Ni Da Pa Pa Ni Da Pa Ma,YAMAN
Ga Ri Sa Sa Ni Ri Ga Ga Ma Ga Ga Ri Ni Ri Sa,YAMAN
Ga Ma Pa Pa Da Pa Pa Ma Ga Ga Ri Sa,YAMAN
Pa Ma Ga Ma Pa Da Ni Sa Na Da Pa Ma Ga Ri Sa,YAMAN
Ga Ma Pa Da Ni Sa Ri Sa Ni Da Pa Ma Ga Ri Sa,YAMAN
Da ni Sa Sa ni Da Pa Da ni Sa Ri ga Ri Sa,YAMAN
Sa ni Da Pa Ma ga Ri Sa Ma Pa Da ni Sa Sa,YAMAN
Sa Ri Sa ni Da Pa Ma ga Ri Sa Ma Pa Da ni Sa,YAMAN
Sa Ri ga Ri Sa ni Da Pa Ma ga Ri Sa Da ni Sa,YAMAN
Ri Ma Pa Ma ga Ri Sa Da ni Sa Sa ni Da Pa,YAMAN
Da ni Sa Ri ga Ri Sa Sa ni Da Pa Ma ga Ri Sa,YAMAN
Ne Dha Pa Ma Pa Ga Ma Pa Pa Ma Ga Re,YAMAN
Ni Re Ga Re Ga Ma Pa Dha Pa Ma Ga Re,YAMAN
Ga Re Sa Ni Dha Pa Ga Ga Pa Dha Pa Sa,YAMAN
Sa Ni Re Ga Re Sa Ni Dha Pa Ma Ga Ma,YAMAN
ni Da Pa Ma ga ga Ri Ri Ri Pa Ma Pa Ma ga Ri Sa,YAMAN
Ma Ma Pa Da ni ni Sa Da ni Sa Ri ga Ri Sa,YAMAN
ga Ri Sa na Da Pa Sa ni Da Pa Ma ga Ri Sa,YAMAN
Sa Sa Ri ga Ri ga Ma Ma Pa Pa Da Ma Pa ga Ri Ri,YAMAN
ga Ma Pa Da ni Da Pa Sa ni Da Pa Ma Pa ga Ri,YAMAN
Ma Pa Da ni Sa Sa Sa Sa Sa Ri ga Ri Sa ni Da Pa,YAMAN
Sa ni Da Da Sa ni Da Pa Sa ni Da Pa Ma ga Ri Sa,YAMAN
Sa Ri ga Ma Pa Da ni Sa Sa ni Da Pa Ma ga Ri Sa,YAMAN
ga Ma Pa Da ni Sa Ri Sa Sa ni Da Pa Ma ga Ri Sa,YAMAN
ga Ma Pa Da ni Sa Ri Sa Sa ni Da Pa Ma ga Ri Sa,YAMAN
ga Ma Pa Da ni Sa Ri Sa Sa ni Da Pa Ma ga Ri Sa,YAMAN
Da ni Sa Sa ni Da Pa Da ni Sa Ri ga Ri Sa,YAMAN
Sa ni Da Pa Ma ga Ri Sa Sa ni Da Pa Ma ga Ri Sa,YAMAN
Ma Pa Da ni Sa Sa Sa Ri Sa ni Da Pa Ma ga Ri Sa,YAMAN
Ma Pa Da ni Sa Sa Ri ga Ri Sa ni Da Pa Ma ga Ri Sa,YAMAN
Da ni Sa Ri Ma Pa Ma ga Ri Sa Da ni Sa Sa ni Da Pa,YAMAN
Da ni Sa Ri ga Ri Sa Sa ni Da Pa Ma ga Ri Sa,YAMAN
Ni Ri Sa Sa Ni Da Pa Ma Da Ni Ri Ga Ga Ma Ga,YAMAN
Pa Ma Ga Ri Sa Ni Ri Ga Ma Pa Ma Da Ni Da Pa,YAMAN
Ma Da Ni Sa Sa Ni Da Pa Ni Da Pa Ma Ga Ri Ga,YAMAN
Ri Sa Ga Ma Da Ni Sa Ni Ri Sa Sa Ni Da Pa Ma Da Nia,YAMAN
Ma Da Ni Ri Sa Ni Ri Ga Ri Sa Sa Ni Da Pa Ma Da Ni,YAMAN
Ma Da Ni Ri Sa Ni Ri Ma Ga Ri Ga Ri Sa Sa Ni Da Pa,YAMAN
Ma Da Ni Sa Ga Ma Da Ni Ri Sa Ni Ri Ga Ri Sa,YAMAN
Ni Ri Ma Ga Ri Ga Ri Sa Sa Ni Da Pa Ma Da Ni Sa,YAMAN
Ga Ri Ga Ma Pa Da Pa Ma Ga Ri Ga Ri Sa Ni Ri Ga Ri,YAMAN
Ga Ma Pa Da Ni Da Pa Ma Ga Ri Sa Ni Ri Ga Ri,YAMAN
Ga Ma Da Ni Sa Da Ni Sa Ri Ga Ri Sa Ga Ri Sa Ni,YAMAN
Da Pa Ma Pa Ni Da Pa Ma Ga Ri Sa Ni Da Pa Pa Ma Pa,YAMAN
Ga Ma Pa Ga Ri Ni Ri Sa Sa Ma Da Ni Sa Ni Da Pa Ma Pa,YAMAN
Ga Ma Ni Da Pa Ga Ri Ni Ri Sa Sa Ni Ri Ga Ri Ga Ma Pa Pa,YAMAN
Ni Da Pa Ma Ga Ri Sa Sa Ma Ga Ma Da Sa Sa Sa Ni Ri Ga Ri,YAMAN
Ni Ri Sa Sa Ga Ri Sa Ri Ni Da Pa Pa Na Da Pa Ma Ga Ri Sa Sa,YAMAN
Ni Ri Ga Ga Ma Ga Ga Ri Ni Ri Sa Ga Ma Pa Pa Da Pa,YAMAN
Pa Ma Ga Ga Ri Sa Pa Ma Ga Ma Pa Da Ni Sa Ni Da Pa Ma Ga Ri Sa,YAMAN
